"","polity","realized_coup","type_of_coup","replicate","n","number"
"143",-10,1,"coup",43,5,5
"144",-10,1,"coup",44,5,5
"145",-10,1,"coup",45,5,5
"146",-10,1,"coup",46,5,5
"147",-10,1,"coup",47,8,8
"148",-10,1,"coup",48,6,6
"149",-10,1,"coup",49,3,3
"150",-10,1,"coup",50,2,2
"151",-9,0,"attempt",1,31,31
"152",-9,0,"attempt",2,21,21
"153",-9,0,"attempt",3,41,41
"154",-9,0,"attempt",4,32,32
"155",-9,0,"attempt",5,36,36
"156",-9,0,"attempt",6,37,37
"157",-9,0,"attempt",7,25,25
"158",-9,0,"attempt",8,33,33
"159",-9,0,"attempt",9,39,39
"160",-9,0,"attempt",10,37,37
"161",-9,0,"attempt",11,43,43
"162",-9,0,"attempt",12,30,30
"163",-9,0,"attempt",13,21,21
"164",-9,0,"attempt",14,28,28
"165",-9,0,"attempt",15,37,37
"166",-9,0,"attempt",16,38,38
"167",-9,0,"attempt",17,30,30
"168",-9,0,"attempt",18,30,30
"169",-9,0,"attempt",19,31,31
"170",-9,0,"attempt",20,27,27
"171",-9,0,"attempt",21,41,41
"172",-9,0,"attempt",22,28,28
"173",-9,0,"attempt",23,36,36
"174",-9,0,"attempt",24,36,36
"175",-9,0,"attempt",25,45,45
"176",-9,0,"attempt",26,31,31
"177",-9,0,"attempt",27,28,28
"178",-9,0,"attempt",28,44,44
"179",-9,0,"attempt",29,28,28
"180",-9,0,"attempt",30,40,40
"181",-9,0,"attempt",31,35,35
"182",-9,0,"attempt",32,37,37
"183",-9,0,"attempt",33,31,31
"184",-9,0,"attempt",34,35,35
"185",-9,0,"attempt",35,34,34
"186",-9,0,"attempt",36,36,36
"187",-9,0,"attempt",37,25,25
"188",-9,0,"attempt",38,30,30
"189",-9,0,"attempt",39,37,37
"190",-9,0,"attempt",40,25,25
"191",-9,0,"attempt",41,40,40
"192",-9,0,"attempt",42,36,36
"193",-9,0,"attempt",43,33,33
"194",-9,0,"attempt",44,26,26
"195",-9,0,"attempt",45,28,28
"196",-9,0,"attempt",46,34,34
"197",-9,0,"attempt",47,31,31
"198",-9,0,"attempt",48,30,30
"199",-9,0,"attempt",49,36,36
"200",-9,0,"attempt",50,39,39
"201",-9,0,"conspiracy",1,25,25
"202",-9,0,"conspiracy",2,28,28
"203",-9,0,"conspiracy",3,18,18
"204",-9,0,"conspiracy",4,32,32
"205",-9,0,"conspiracy",5,19,19
"206",-9,0,"conspiracy",6,24,24
"207",-9,0,"conspiracy",7,18,18
"208",-9,0,"conspiracy",8,26,26
"209",-9,0,"conspiracy",9,21,21
"210",-9,0,"conspiracy",10,22,22
"211",-9,0,"conspiracy",11,25,25
"212",-9,0,"conspiracy",12,23,23
"213",-9,0,"conspiracy",13,18,18
"214",-9,0,"conspiracy",14,32,32
"215",-9,0,"conspiracy",15,29,29
"216",-9,0,"conspiracy",16,26,26
"217",-9,0,"conspiracy",17,21,21
"218",-9,0,"conspiracy",18,22,22
"219",-9,0,"conspiracy",19,25,25
"220",-9,0,"conspiracy",20,25,25
"221",-9,0,"conspiracy",21,30,30
"222",-9,0,"conspiracy",22,28,28
"223",-9,0,"conspiracy",23,29,29
"224",-9,0,"conspiracy",24,33,33
"225",-9,0,"conspiracy",25,24,24
"226",-9,0,"conspiracy",26,34,34
"227",-9,0,"conspiracy",27,31,31
"228",-9,0,"conspiracy",28,19,19
"229",-9,0,"conspiracy",29,30,30
"230",-9,0,"conspiracy",30,19,19
"231",-9,0,"conspiracy",31,28,28
"232",-9,0,"conspiracy",32,31,31
"233",-9,0,"conspiracy",33,27,27
"234",-9,0,"conspiracy",34,26,26
"235",-9,0,"conspiracy",35,27,27
"236",-9,0,"conspiracy",36,31,31
"237",-9,0,"conspiracy",37,27,27
"238",-9,0,"conspiracy",38,27,27
"239",-9,0,"conspiracy",39,25,25
"240",-9,0,"conspiracy",40,30,30
"241",-9,0,"conspiracy",41,26,26
"242",-9,0,"conspiracy",42,26,26
"243",-9,0,"conspiracy",43,25,25
"244",-9,0,"conspiracy",44,25,25
"245",-9,0,"conspiracy",45,31,31
"246",-9,0,"conspiracy",46,25,25
"247",-9,0,"conspiracy",47,23,23
"248",-9,0,"conspiracy",48,29,29
"249",-9,0,"conspiracy",49,18,18
"250",-9,0,"conspiracy",50,27,27
"251",-9,1,"coup",1,6,6
"252",-9,1,"coup",2,10,10
"253",-9,1,"coup",3,13,13
"254",-9,1,"coup",4,10,10
"255",-9,1,"coup",5,9,9
"256",-9,1,"coup",6,5,5
"257",-9,1,"coup",7,13,13
"258",-9,1,"coup",8,11,11
"259",-9,1,"coup",9,16,16
"260",-9,1,"coup",10,12,12
"261",-9,1,"coup",11,14,14
"262",-9,1,"coup",12,11,11
"263",-9,1,"coup",13,12,12
"264",-9,1,"coup",14,8,8
"265",-9,1,"coup",15,11,11
"266",-9,1,"coup",16,5,5
"267",-9,1,"coup",17,12,12
"268",-9,1,"coup",18,10,10
"269",-9,1,"coup",19,8,8
"270",-9,1,"coup",20,7,7
"271",-9,1,"coup",21,14,14
"272",-9,1,"coup",22,15,15
"273",-9,1,"coup",23,8,8
"274",-9,1,"coup",24,8,8
"275",-9,1,"coup",25,10,10
"276",-9,1,"coup",26,6,6
"277",-9,1,"coup",27,11,11
"278",-9,1,"coup",28,8,8
"279",-9,1,"coup",29,14,14
"280",-9,1,"coup",30,5,5
"281",-9,1,"coup",31,8,8
"282",-9,1,"coup",32,9,9
"283",-9,1,"coup",33,7,7
"284",-9,1,"coup",34,8,8
"285",-9,1,"coup",35,14,14
"286",-9,1,"coup",36,12,12
"287",-9,1,"coup",37,11,11
"288",-9,1,"coup",38,8,8
"289",-9,1,"coup",39,9,9
"290",-9,1,"coup",40,13,13
"291",-9,1,"coup",41,9,9
"292",-9,1,"coup",42,10,10
"293",-9,1,"coup",43,10,10
"294",-9,1,"coup",44,16,16
"295",-9,1,"coup",45,14,14
"296",-9,1,"coup",46,5,5
"297",-9,1,"coup",47,9,9
"298",-9,1,"coup",48,11,11
"299",-9,1,"coup",49,9,9
"300",-9,1,"coup",50,10,10
"301",-8,0,"attempt",1,16,16
"302",-8,0,"attempt",2,16,16
"303",-8,0,"attempt",3,15,15
"304",-8,0,"attempt",4,6,6
"305",-8,0,"attempt",5,14,14
"306",-8,0,"attempt",6,13,13
"307",-8,0,"attempt",7,9,9
"308",-8,0,"attempt",8,12,12
"309",-8,0,"attempt",9,7,7
"310",-8,0,"attempt",10,9,9
"311",-8,0,"attempt",11,10,10
"312",-8,0,"attempt",12,8,8
"313",-8,0,"attempt",13,8,8
"314",-8,0,"attempt",14,18,18
"315",-8,0,"attempt",15,20,20
"316",-8,0,"attempt",16,8,8
"317",-8,0,"attempt",17,20,20
"318",-8,0,"attempt",18,25,25
"319",-8,0,"attempt",19,18,18
"320",-8,0,"attempt",20,16,16
"321",-8,0,"attempt",21,11,11
"322",-8,0,"attempt",22,9,9
"323",-8,0,"attempt",23,9,9
"324",-8,0,"attempt",24,12,12
"325",-8,0,"attempt",25,13,13
"326",-8,0,"attempt",26,12,12
"327",-8,0,"attempt",27,7,7
"328",-8,0,"attempt",28,9,9
"329",-8,0,"attempt",29,11,11
"330",-8,0,"attempt",30,14,14
"331",-8,0,"attempt",31,12,12
"332",-8,0,"attempt",32,9,9
"333",-8,0,"attempt",33,11,11
"334",-8,0,"attempt",34,11,11
"335",-8,0,"attempt",35,15,15
"336",-8,0,"attempt",36,8,8
"337",-8,0,"attempt",37,7,7
"338",-8,0,"attempt",38,13,13
"339",-8,0,"attempt",39,10,10
"340",-8,0,"attempt",40,9,9
"341",-8,0,"attempt",41,12,12
"342",-8,0,"attempt",42,8,8
"343",-8,0,"attempt",43,13,13
"344",-8,0,"attempt",44,6,6
"345",-8,0,"attempt",45,12,12
"346",-8,0,"attempt",46,12,12
"347",-8,0,"attempt",47,13,13
"348",-8,0,"attempt",48,17,17
"349",-8,0,"attempt",49,16,16
"350",-8,0,"attempt",50,16,16
"351",-8,0,"conspiracy",1,8,8
"352",-8,0,"conspiracy",2,5,5
"353",-8,0,"conspiracy",3,5,5
"354",-8,0,"conspiracy",4,10,10
"355",-8,0,"conspiracy",5,4,4
"356",-8,0,"conspiracy",6,6,6
"357",-8,0,"conspiracy",7,16,16
"358",-8,0,"conspiracy",8,7,7
"359",-8,0,"conspiracy",9,5,5
"360",-8,0,"conspiracy",10,7,7
"361",-8,0,"conspiracy",11,6,6
"362",-8,0,"conspiracy",12,5,5
"363",-8,0,"conspiracy",13,7,7
"364",-8,0,"conspiracy",14,12,12
"365",-8,0,"conspiracy",15,10,10
"366",-8,0,"conspiracy",16,9,9
"367",-8,0,"conspiracy",17,10,10
"368",-8,0,"conspiracy",18,6,6
"369",-8,0,"conspiracy",19,3,3
"370",-8,0,"conspiracy",20,9,9
"371",-8,0,"conspiracy",21,12,12
"372",-8,0,"conspiracy",22,6,6
"373",-8,0,"conspiracy",23,6,6
"374",-8,0,"conspiracy",24,6,6
"375",-8,0,"conspiracy",25,6,6
"376",-8,0,"conspiracy",26,13,13
"377",-8,0,"conspiracy",27,8,8
"378",-8,0,"conspiracy",28,6,6
"379",-8,0,"conspiracy",29,6,6
"380",-8,0,"conspiracy",30,10,10
"381",-8,0,"conspiracy",31,7,7
